Category: All categories

Week,iphone: (Turkey)
2019-11-24,77
2019-12-01,60
2019-12-08,56
2019-12-15,55
2019-12-22,56
2019-12-29,55
2020-01-05,50
2020-01-12,55
2020-01-19,55
2020-01-26,57
2020-02-02,55
2020-02-09,57
2020-02-16,55
2020-02-23,49
2020-03-01,52
2020-03-08,46
2020-03-15,43
2020-03-22,44
2020-03-29,46
2020-04-05,45
2020-04-12,57
2020-04-19,53
2020-04-26,56
2020-05-03,58
2020-05-10,61
2020-05-17,56
2020-05-24,68
2020-05-31,68
2020-06-07,65
2020-06-14,65
2020-06-21,67
2020-06-28,72
2020-07-05,65
2020-07-12,64
2020-07-19,61
2020-07-26,64
2020-08-02,69
2020-08-09,65
2020-08-16,64
2020-08-23,64
2020-08-30,57
2020-09-06,59
2020-09-13,66
2020-09-20,63
2020-09-27,59
2020-10-04,59
2020-10-11,100
2020-10-18,69
2020-10-25,66
2020-11-01,58
2020-11-08,63
2020-11-15,63
