Category: All categories

Week,korona belirtisi: (Turkey)
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,<1
2020-02-16,0
2020-02-23,2
2020-03-01,2
2020-03-08,7
2020-03-15,17
2020-03-22,21
2020-03-29,16
2020-04-05,17
2020-04-12,39
2020-04-19,32
2020-04-26,12
2020-05-03,7
2020-05-10,40
2020-05-17,42
2020-05-24,18
2020-05-31,31
2020-06-07,46
2020-06-14,38
2020-06-21,23
2020-06-28,17
2020-07-05,12
2020-07-12,14
2020-07-19,16
2020-07-26,23
2020-08-02,78
2020-08-09,100
2020-08-16,46
2020-08-23,36
2020-08-30,31
2020-09-06,32
2020-09-13,30
2020-09-20,25
2020-09-27,18
2020-10-04,19
2020-10-11,31
2020-10-18,52
2020-10-25,65
2020-11-01,63
2020-11-08,81
2020-11-15,83
